id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,k
LD,money,F,Exponential,0.30981997938644323,0.960028137298439,25.44442979838235,0.9397024739583332,0.0027382565700722955
AK,music,C,Exponential,0.38456260513811324,0.869914822106631,30.336129786618063,0.9067930194805196,0.00951694394350438
PF,music,F,Exponential,0.3004186365473888,0.9641685748484143,24.057106614216732,0.9311040909090911,0.002447584757639938
VS,music,C,Exponential,0.5641615350398037,0.3680571967962611,44.95516748981373,0.8297169117647059,0.08307356647983034
VB,music,C,Exponential,0.3944392294247182,0.9043386279705143,32.402595008229056,0.9062615740740738,0.00681965637227793
DCRD,money,C,Exponential,0.11140234949378824,0.9888121797808904,10.822007992292509,0.9919429545454542,0.00075147008123437
SE,money,C,Exponential,0.4149809470229887,0.14730478817585116,35.12505820835053,0.905272727272727,0.22603480734809403
MH,food,F,Exponential,0.26302026872253725,0.4239920977899941,21.882162862709784,0.9654070312499998,0.06856808303172077
JD,money,F,Exponential,0.36581985234317416,0.8121959228574025,28.589365636050545,0.9307293650793651,0.014384033855465998
JB,money,C,Exponential,0.13522796011461488,0.9977051501796946,11.877354341921526,0.9742891414141411,0.00015322449639908789
AF,music,F,Exponential,0.41514511881445915,0.42559278552535096,32.809582964949456,0.8914988425925926,0.06819859465032198
AT,food,F,Exponential,0.39451576725685544,0.0337749148402229,33.67488928077186,0.7826319444444445,0.9872154515013135
