model,n,LL,AIC,deltaAIC,AIC weight,BIC,deltaBIC,BIC weight,parameters
1. Trait only,1,-61.11024789202919,124.22049578405839,30.45644772234462,2.2565579317898458e-07,126.13251878948653,26.632401711488328,1.3703647270034276e-06,[0.13554688]
2. In-domain,2,-50.097992675104166,104.19598535020833,10.431937288494566,0.005031687717736674,108.02003136106462,8.519914283066427,0.011746617933697445,[0.19348746 0.14118666]
3. Monetary primacy,2,-50.40543611311665,104.8108722262333,11.046824164519535,0.0036999230427850324,108.6349182370896,9.134801159091396,0.008637575462896318,[0.08970892 0.13595648]
4. Devaluation,3,-50.09799247872047,106.19598495744094,12.431936895727176,0.001851054829267129,111.93205397372537,12.431936895727176,0.0016612229656220725,[0.19348104 0.         0.14117536]
5. Spillover,3,-43.88202403085688,93.76404806171377,0.0,0.9267873120911677,99.5001170779982,0.0,0.8317421735706005,[0.18980369 0.0578481  0.13893288]
6. State-only,2,-47.576506983406176,99.15301396681235,5.388965905098587,0.0626297966632503,102.97705997766865,3.4769428996704477,0.14621103970245664,[0.07722085 0.13528029]
