model,n,LL,AIC,deltaAIC,AIC weight,BIC,deltaBIC,BIC weight,parameters
1. Trait only,1,-57.27371043545248,116.54742087090496,50.83592468222341,9.083194695090528e-12,118.4594438763331,47.011878671367114,6.099029852644714e-11,[0.14054688]
2. In-domain,2,-36.19030542428284,76.38061084856568,10.66911465988413,0.004790166370123609,80.20465685942197,8.75709165445599,0.01236466097502817,[0.27387094 0.13045651]
3. Monetary fungibility,2,-42.68589078107689,89.37178156215379,23.660285373472234,7.233587183894723e-06,93.19582757301008,21.748262368044095,1.8671763410977105e-05,[0.11496806 0.13791024]
4. Negative spillover,3,-36.19030509030614,78.38061018061228,12.669113991930729,0.0017622043158943943,84.11667919689671,12.669113991930729,0.0017486277085038387,[0.27390925 0.         0.13045772]
5. Spillover,3,-29.855748094340775,65.71149618868155,0.0,0.9933891430823408,71.44756520496598,0.0,0.9857357431558834,[0.27339816 0.05498741 0.12876563]
6. State-only,2,-40.72785880825993,85.45571761651986,19.744221427838312,5.1252635373946744e-05,89.27976362737616,17.832198422410173,0.00013229633618325344,[0.0904994  0.13784416]
