id,commodity,condition,model,log_loss,AUC,WAIC,roc_auc,logk
JL,food,C,Hyperbolic,0.1480352402633272,0.9877527688536422,13.465509698414193,0.9851021205357146,-7.094075120732231
BJ,money,C,Hyperbolic,0.2912341242761546,0.977743010029094,24.237697534162855,0.9546909496753245,-6.483138196625036
PF,food,C,Hyperbolic,0.3232782075330166,0.9145416004829136,26.13472076045414,0.9411269841269844,-5.048672648817051
LS,money,C,Hyperbolic,0.37208159284686204,0.929107919450793,29.07050129355177,0.9016322115384618,-5.256609895506039
DN,money,C,Hyperbolic,,0.9990284977862172,1.9672264629250507,,-9.643421243026545
BF,food,F,Hyperbolic,0.3814363482913403,0.4805905733771123,29.650630278563074,0.8890845238095242,-2.3893685452075215
KM,music,C,Hyperbolic,0.32645475081605024,0.7262470255606688,26.019990711384956,0.9366400162337659,-3.577390041732257
SP,food,F,Hyperbolic,0.5108891336652568,0.1974971050279956,40.599879386032214,0.8578417642140469,-0.7939136438643352
RV,money,F,Hyperbolic,0.31142864339083787,0.7654589703207417,26.05277381680371,0.9492068498452015,-3.801977652082783
CM,music,F,Hyperbolic,0.40558345376535687,0.22292473160152285,31.714920346120348,0.9046789062500001,-0.982300107430038
FD,music,C,Hyperbolic,0.36340625084350503,0.49909081502356656,28.430699053784775,0.9387538699690401,-2.4755485271006927
RR,money,F,Hyperbolic,0.4613806973690818,0.8191748671451347,36.64216693417943,0.8591448412698415,-4.1524053919554955
RV,food,F,Hyperbolic,0.4205825903654522,0.022454202082211158,33.520633438380464,0.8517556584362139,2.1053498990251027
SE,music,F,Hyperbolic,0.3477376970351851,0.19743191582164502,27.93416268734094,0.9166331818181818,-0.7934075184338046
EM,food,C,Hyperbolic,0.2922617453066779,0.9602743141532657,24.228446698918262,0.9441684027777778,-5.879759654713263
RR,food,F,Hyperbolic,0.449500578964692,0.0775223225779402,34.84938614872024,0.8303750000000001,0.5301146422134465
LG,money,F,Hyperbolic,0.45355993173493603,0.41347018740029634,35.21413205997666,0.8656799535603718,-2.0694981652580373
DD,food,F,Hyperbolic,0.37153747949630916,0.30277440770886965,31.39466010512568,0.9308509920634922,-1.488270029945117
DN,music,F,Hyperbolic,,0.999061547335189,2.030087876364812,,-9.678076481157625
GA,food,C,Hyperbolic,0.3943420618234039,0.4942056091737525,32.80833487617283,0.9138308593749999,-2.4528412008419074
LD,money,F,Hyperbolic,0.3284464577694497,0.9453794790098198,26.404175857073533,0.9322237413194442,-5.540505573737233
AK,music,C,Hyperbolic,0.37315255033140476,0.8383812703149001,29.56654031881911,0.9144074675324676,-4.295573616849427
PF,music,F,Hyperbolic,0.319735016988153,0.9510613112461086,25.053809502805805,0.9199818181818182,-5.658335978527845
VS,music,C,Hyperbolic,0.5312352258126432,0.4641381824728827,42.095439067900884,0.8383215944272444,-2.31219387889225
VB,music,C,Hyperbolic,0.418710710126066,0.8768315071180328,32.94447318448767,0.8886531635802469,-4.627019619584778
DCRD,money,C,Hyperbolic,0.09514936926367298,0.9872621266566358,9.205404931820938,0.9936524999999997,-7.05413283009348
SE,money,C,Hyperbolic,0.4125106112943798,0.24930478599794653,32.72022397500335,0.9053157467532467,-1.1616209092884053
MH,food,F,Hyperbolic,0.4032526878823396,0.46768442220558354,31.774496162340064,0.9095523437499998,-2.328879970395091
JD,money,F,Hyperbolic,0.2812141730800517,0.773357569917568,22.528507080098304,0.9495251984126984,-3.849903358634747
