model,n,LL,AIC,deltaAIC,AIC weight,BIC,deltaBIC,BIC weight,parameters
1. Trait only,1,-58.20905083804671,118.41810167609341,47.946027028554994,3.776236949944911e-11,120.33012468152155,44.1219810176987,2.4788129895073114e-10,[0.14375]
2. In-domain,2,-37.160639649230255,78.32127929846051,7.84920465092209,0.01922974776467201,82.1453253093168,5.9371816454939506,0.048525228961930254,[0.29688905 0.1359658 ]
3. Monetary primacy,2,-45.54817241065123,95.09634482130247,24.624270173764046,4.3783894895168466e-06,98.92039083215876,22.712247168335907,1.10486291896995e-05,[0.11499083 0.14494342]
4. Devaluation,3,-37.16063948237698,80.32127896475396,9.849204317215538,0.007074230041893692,86.05734798103839,9.849204317215538,0.006862504836553489,[0.29689517 0.         0.13595708]
5. Spillover,3,-32.23603732376921,70.47207464753842,0.0,0.973658638325765,76.20814366382285,0.0,0.9445179298797612,[0.29682599 0.0528158  0.1357205 ]
6. State-only,2,-43.52818096195541,91.05636192391081,20.584287276372393,3.3005440417340984e-05,94.8804079347671,18.672264270944254,8.328744468417813e-05,[0.09058799 0.14372554]
