id,food C,food F,money C,money F,music C,music F
AB,0.9819762011830508,0.8269970875993234,0.9977966430485494,0.9960826919943432,0.9858788163650438,0.9957920188161796
AD,0.6718949901640306,0.05124986693693195,0.9578312489423044,0.5790241194479677,0.8676480397054336,0.2368099353256869
AF,0.08760275854957764,0.04234524780888988,0.42523456097466095,0.031154705476816417,0.21025601883311287,0.42559278552535096
AH,0.6343095857133652,0.8647912627940104,0.7700504998390448,0.9706895568353956,0.6476599660605601,0.7565071686375532
AK,0.7597554215985054,0.07235680390014528,0.5973238269246569,0.6038455697983389,0.869914822106631,0.7149808599335421
AT,0.4081700130573589,0.0337749148402229,0.9496371740590208,0.2922056565123757,0.7421044995560678,0.03035231278802825
BD,0.0802893674727667,0.19177572795336545,0.8982032619201691,0.5516021631464849,0.07368067357049768,0.467184796423357
BF,0.9736454020743629,0.455405933279221,0.9821909611891224,0.9848819015467544,0.948152204422676,0.5863517476837105
BJ,0.06844601430567868,0.07279832265082596,0.9820286961676641,0.8578299062698651,0.8394764316387621,0.7756931940250096
CC,0.10735825352494202,0.04101408071154767,0.5540495663863831,0.3564449580243197,0.4593413996563452,0.3231594593979389
CF,0.2619856512201414,0.12382189226478252,0.8595492848316367,0.35857265546752504,0.4159568909358196,0.3750482120252648
CL,0.9187459024847516,0.5753906454501136,0.9147128558974564,0.7171947131510579,0.8979663969811988,0.7362461650425666
CM,0.17196716091003697,0.09237744517535536,0.4484666944964553,0.3935280582170211,0.1891368810907317,0.1235783805719803
CV,0.9888186506421304,0.1211908864288316,0.998461233880935,0.9913155092423532,0.9586992267394724,0.9914626553726144
DCRD,0.979367021910889,0.04202662523254298,0.9888121797808904,0.9876955528479598,0.985799604630583,0.9875979150098688
DD,0.4593311786714855,0.20550932510226055,0.9536345509557758,0.8476505870727036,0.9698821173019708,0.7012665995985722
DG,0.9922895227365476,0.5231061976698099,0.5578195779721122,0.7787649331216022,0.6658299240936434,0.34337600246107397
DN,0.9957990467687746,0.9944694160133908,0.9991149481493352,0.9991406274781158,0.9991264261217832,0.9991071806303644
EM,0.969715643520232,0.04376722062881907,0.9969369057346612,0.996591164214344,0.7846917118708205,0.7789218227087258
ER,0.9982495690422742,0.596166263975945,0.9970401285862232,0.5332486491281506,0.9925917135733958,0.4930010289335991
FD,0.02652982610540366,0.24535062860338286,0.4334735227326266,0.34071186733292386,0.4664665976924786,0.16207569507127806
GA,0.474681525873954,0.14312778293530015,0.9002464047652744,0.9187661088609852,0.6565778664192126,0.6488637529222548
GW,0.79498325359847,0.3029373236056072,0.8698060895749955,0.7447672268692795,0.866796098950271,0.9391760859180373
JB,0.9894121322016298,0.025326364317164216,0.9977051501796946,0.991659944302438,0.019111151897961743,0.027261933433504092
JD,0.436378429160373,0.02572743419214175,0.81620933586796,0.8121959228574025,0.7839556913374576,0.7685685652835995
