A	B	DA	DB	R
9	20	0	60	0
10	20	0	21	0
11	20	0	7	1
7	20	0	30	0
17	20	0	30	0
12	20	0	3	1
7	20	0	60	0
13	20	0	3	0
19	20	0	30	0
19	20	0	60	0
8	20	0	2	1
18	20	0	30	0
11	20	0	4	1
12	20	0	6	0
5	20	0	2	1
6	20	0	3	1
9	20	0	14	0
10	20	0	5	1
11	20	0	7	1
10	20	0	14	0
9	20	0	7	0
6	20	0	4	1
10	20	0	7	0
7	20	0	4	1
10	20	0	6	1
12	20	0	7	0
9	20	0	6	1
12	20	0	6	0
8	20	0	7	1
11	20	0	6	1
11	20	0	7	0
11	20	0	5	1
13	20	0	6	0
9	20	0	7	1
10	20	0	7	1
13	20	0	5	0
